Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,cls_0,cls_1,cls_2,cls_3,cls_4,cls_5,cls_6,cls_7,cls_8,cls_9,cls_10,cls_11,cls_12,cls_13,cls_14,cls_15,step_emb_0,step_emb_1,mask_Loan_Institution_Past6M,mask_Overdue_Num_Past6M,mask_Overdue_Day_Past6M,mask_Overdue_Day_Max_Past6M,mask_CA_Institution_Past6M,mask_CA_Institution_Max_Past6M,mask_CA_UseAmount_Past6M,mask_Card_UseAmount_Past6M,mask_Age,mask_Gender,prediction_entropy,Long_Overdue
0.0,0.0,0.0,0.0,0.0,0.0,800.0,6556.0,53.0,2.0,1.0998693704605103,-0.5259024500846863,0.7580243945121765,-1.2415069341659546,-1.3507624864578247,-0.6741979122161865,0.15094216167926788,-1.0359418392181396,1.0730152130126953,-1.241236925125122,-0.3207290768623352,1.9683558940887451,-0.3473794162273407,0.15999022126197815,1.484980821609497,0.042478617280721664,3.3389456272125244,-0.3903815746307373,0.7048684358596802,2.7262468338012695,0.22229839861392975,0.19797807931900024,0.0,1.3506662845611572,0.8255012631416321,0.0,0.14349812269210815,0.0,-1.8018907561167912,0
2.0,0.0,0.0,0.0,2.0,1.0,700.0,8422.0,63.0,1.0,1.1166715621948242,-0.4602856934070587,0.7618535161018372,-1.3393410444259644,-1.2816513776779175,-0.7184537053108215,0.08356000483036041,-0.8929086923599243,1.0841716527938843,-1.179567813873291,-0.4355027973651886,2.0207080841064453,-0.3396753966808319,0.0031789476051926613,1.4974021911621094,0.07984016835689545,3.8039753437042236,-0.3868440091609955,0.8773058652877808,3.0290446281433105,0.0,1.3807820081710815,0.0,0.0,1.159740686416626,0.0,0.21642594039440155,0.0,-3.528228830443918,0
1.0,0.0,0.0,0.0,0.0,0.0,3250.0,10614.0,43.0,2.0,1.0603232383728027,-0.4867801070213318,0.8433306217193604,-1.177146553993225,-1.4191306829452515,-0.6232128739356995,0.18696971237659454,-1.2137956619262695,1.085465669631958,-1.2739717960357666,-0.24570289254188538,1.921750783920288,-0.30742934346199036,0.2441454380750656,1.3863389492034912,0.01884518191218376,3.1023402214050293,-0.335540771484375,0.22109568119049072,2.8330540657043457,0.02261071838438511,0.057150665670633316,0.0,1.1337394714355469,1.1069363355636597,0.0,0.05246982350945473,0.0,-2.4674121727295883,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,19501.0,61.0,1.0,1.1597589254379272,-0.4827407896518707,0.7232928276062012,-1.3564683198928833,-1.3350087404251099,-0.6449614763259888,0.09157521277666092,-0.8041242957115173,1.079530954360962,-1.1415460109710693,-0.4908948540687561,1.9948673248291016,-0.3922274112701416,-0.049935005605220795,1.531783103942871,0.11709845811128616,3.1581363677978516,-0.3089836835861206,0.5687767267227173,1.804709553718567,0.9795649647712708,1.1325188875198364,0.0,0.0,0.6219083666801453,0.0,0.4555841088294983,0.0,-0.21171650177735574,0
1.0,0.0,0.0,0.0,4.0,2.0,8900.0,9998.0,47.0,1.0,-0.5765374302864075,-1.3597009181976318,0.9888330698013306,0.7180625200271606,-1.5429598093032837,0.034080684185028076,0.36840328574180603,-2.406874418258667,1.1682531833648682,-0.04885388910770416,0.7303133606910706,0.0714116245508194,-0.4806654453277588,0.6592692136764526,0.7021588087081909,0.9748061895370483,2.1017844676971436,0.29856446385383606,0.14891417324543,0.0,2.9869298934936523,0.18095161020755768,0.0,0.0,0.08445550501346588,0.0,0.14935319125652313,1.2120290994644165,-2.4158524705216475,0
2.0,0.0,0.0,0.0,2.0,2.0,19700.0,59602.0,52.0,1.0,1.0648248195648193,-0.4644356369972229,0.873409628868103,-1.2167075872421265,-1.4140479564666748,-0.6278870105743408,0.1858678013086319,-1.1940563917160034,1.0694835186004639,-1.2347630262374878,-0.2744309604167938,1.9468964338302612,-0.3048263192176819,0.16880197823047638,1.3767285346984863,0.04514186456799507,2.789944648742676,0.07698745280504227,0.1267145425081253,0.0,2.9869298934936523,0.15389317274093628,0.0,0.0,0.08511092513799667,0.2930369973182678,0.12708698213100433,1.7306740283966064,-2.836398085094991,0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,68.0,1.0,1.129372239112854,-0.5179479122161865,0.7194830179214478,-1.3275984525680542,-1.3408534526824951,-0.5857793688774109,0.08460279554128647,-0.800700843334198,1.0407555103302002,-1.157989501953125,-0.5096648931503296,2.0075879096984863,-0.4198468029499054,-0.08420763164758682,1.565233826637268,0.19755296409130096,2.8448150157928467,-0.15471000969409943,0.7530877590179443,0.0,2.9869298934936523,0.6607456207275391,0.0,0.0,0.5371996760368347,0.0,0.7185364365577698,0.0,-2.2097643226115427,0
0.0,0.0,0.0,0.0,1.0,1.0,300.0,7953.0,62.0,1.0,1.1208515167236328,-0.460484117269516,0.7816327214241028,-1.3337583541870117,-1.2913655042648315,-0.7380883097648621,0.1239490807056427,-0.9176537394523621,1.1013797521591187,-1.1823984384536743,-0.4144723117351532,2.001896619796753,-0.35176318883895874,0.045828431844711304,1.4673991203308105,0.047046348452568054,4.128049373626709,-0.4331614673137665,1.0683907270431519,3.197603225708008,0.0,1.3167481422424316,0.0,0.0,2.121784210205078,0.0,0.17176352441310883,0.0,-5.443442781179939,0
2.0,0.0,0.0,0.0,0.0,0.0,45960.0,13404.0,73.0,1.0,-1.4018328189849854,-1.3625060319900513,0.5225650072097778,1.693068265914917,-0.48560723662376404,1.0138405561447144,0.26733383536338806,-1.7236076593399048,0.7442059516906738,0.5208219885826111,1.1089917421340942,-1.0165868997573853,-0.9715563058853149,0.6163605451583862,-0.08519846200942993,0.5597074031829834,3.006985664367676,0.14246082305908203,0.7124223709106445,0.0,2.9869298934936523,0.4868711531162262,0.190409317612648,0.0,0.41211846470832825,0.0,0.7140783071517944,0.0,-1.7548327557482875,0
0.0,1.0,8.0,0.0,1.0,1.0,1210.0,10814.0,51.0,2.0,1.104793906211853,-0.4046604633331299,0.8107331991195679,-1.3446930646896362,-1.311166763305664,-0.6698892116546631,0.07664735615253448,-0.9538082480430603,1.0913655757904053,-1.1821842193603516,-0.39308398962020874,2.0286405086517334,-0.3605344891548157,-0.012802042998373508,1.4391634464263916,0.08147826790809631,2.29331374168396,-0.018339602276682854,0.0,1.1612162590026855,0.0,0.7631431221961975,0.0,1.0655885934829712,1.5981498956680298,0.0,0.0,0.0,-0.7842608419133325,0
