Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
2,0,0,0,0,1,4610,13516,46,1,2,1
1,2,20,0,3,3,4050,10400,46,2,1,1
0,2,21,0,0,0,2670,13863,46,2,1,1
2,1,7,0,0,0,9770,8884,46,1,1,1
0,0,0,0,0,0,10800,20883,46,1,3,1
0,1,12,0,0,0,9870,46401,46,2,1,1
1,0,0,0,1,0,21440,315445,46,1,1,1
0,0,0,0,0,0,27500,10737,46,1,1,1
1,0,0,0,0,0,12360,8797,46,1,1,1
2,0,0,0,0,0,0,3804,46,1,1,1
1,0,0,0,0,0,0,4072,46,1,1,1
1,0,0,0,0,0,0,17240,46,1,1,1
1,0,0,0,0,0,0,17685,46,1,1,1
0,3,54,0,0,0,0,13318,46,1,1,1
0,6,262,0,0,0,0,0,46,1,1,1
0,1,7,0,1,0,12840,41987,46,1,1,1
0,4,28,0,0,0,6200,36640,46,1,2,1
3,0,0,0,0,0,0,12642,46,1,1,1
1,0,0,0,0,0,900,23117,46,1,0,0
2,0,0,0,0,0,3600,17052,46,1,0,0
0,3,29,0,0,0,4550,4033,47,1,1,1
1,0,0,0,0,0,26300,20928,47,1,1,1
0,0,0,0,0,0,9200,29907,47,2,2,1
1,1,9,0,0,0,0,4655,47,2,1,1
0,2,22,0,0,0,0,5882,47,2,1,1
0,4,54,11,0,0,0,12104,47,1,0,0
0,3,47,0,0,0,0,13471,47,1,1,1
0,0,0,0,0,0,0,12886,47,1,1,1
1,0,0,0,0,0,0,11613,47,1,1,1
1,2,17,0,0,0,0,9630,47,1,1,1
3,0,0,0,0,0,84900,8164,47,1,1,1
0,0,0,0,0,0,31500,11419,47,1,1,1
0,0,0,0,0,0,34960,10675,47,1,1,1
1,0,0,0,0,0,22266,17976,47,1,1,1
2,0,0,0,0,0,5050,14578,47,1,1,1
1,0,0,0,0,0,4100,4716,47,1,1,1
1,0,0,0,0,0,16610,31302,47,2,1,1
